point_id,point_name,grid_id,lon,lat,source,label,label_source,complaint_count_250m,complaint_count_500m,oil_smoke_ratio,road_occupation_ratio,night_complaint_ratio,weekend_complaint_ratio,holiday_complaint_ratio,bad_weather_ratio,poi_score_raw,flow_proxy_score,poi_score,complaint_risk,activity_proxy,date,hour_bucket,risk_level,label_notes,labeled_by,labeled_at
osm-relation-2411142,上海理工大学,YANGPU_26_19,121.5501948,31.2949258,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
osm-relation-2410532,上海理工大学 (南校区),YANGPU_27_17,121.5526321,31.2904441,university,,,0,1,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.5515151515151515,0.5515151515151515,0.039755351681957186,0.5515151515151515,2026-03-19,-1,low,,,
osm-node-6476936972,上海理工大学基础学院校区,YANGPU_23_22,121.5414625,31.3011167,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
osm-way-1293058452,上海电力大学国顺东路校区,YANGPU_21_24,121.537382,31.3048569,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
osm-way-68741490,上海财经大学,YANGPU_4_25,121.4931316,31.3068575,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
osm-way-312189210,中国人民解放军海军军医大学,YANGPU_16_25,121.5228563,31.30737,university,,,2,5,0.2,0.0,0.0,0.2,0.0,0.4,0.7,0.002424242424242424,0.002424242424242424,0.46381243628950053,0.002424242424242424,2026-03-19,-1,medium,,,
osm-relation-19200404,中国人民解放军海军军医大学,YANGPU_15_25,121.521175,31.30663,university,,,0,5,0.2,0.0,0.0,0.2,0.0,0.4,0.7,0.002424242424242424,0.002424242424242424,0.27828746177370034,0.002424242424242424,2026-03-19,-1,low,,,
osm-relation-18788116,同济大学,YANGPU_6_15,121.4974304,31.2846675,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
osm-relation-20063014,同济大学彰武路校区,YANGPU_11_15,121.5095563,31.2843757,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
osm-relation-3936746,复旦大学,YANGPU_6_21,121.4979245,31.2980617,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
osm-way-68998719,复旦大学（江湾校区）,YANGPU_8_39,121.5020847,31.3387043,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
osm-way-1358137213,解放军国防大学政治学院上海本部,YANGPU_12_22,121.5132847,31.3000526,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.002424242424242424,0.002424242424242424,0.0,0.002424242424242424,2026-03-19,-1,low,,,
osm-way-1360721743,解放军国防大学政治学院上海本部,YANGPU_10_21,121.5077826,31.2991681,university,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.7454545454545455,0.7454545454545455,0.0,0.7454545454545455,2026-03-19,-1,low,,,
